FLNRORD Forest Analysis and Inventory Branch TIPSY Version 4.4														
PROJECT : Donna_Creek                        SINDEX Version 1.52														
														
STAND														
  GEOGRAPHY: Northern Interior/Mackenzie/SBS/16% Slope														
  ESTABLISHMENT: Regen delay = 0; Target Density = 780 trees/ha (Natural)														
  OPERATIONAL YIELD ADJUSTMENTS:														
    OAF 1                     Age:       0.0   100.0 300.0														
                              Factor:    0.85  0.85  0.85 														
    OAF 2                     Age:       0.0   100.0 300.0														
                              Factor:    1.00  0.95  0.85 														
    Combined Operational Yield Adjustment @ 100 years: 0.81														
														
SPECIES														
 79% LODGEPOLE PINE; Site Index = 15.26														
  Site curve: *Nigh (2017)														
  Top Ht @ bh age 50 (m) = 15.31 (base)														
														
 21% WHITE SPRUCE; Site Index = 10.74														
  Site curve: *Goudie (1984ac) (natural)														
  Top Ht @ bh age 50 (m) = 10.74 (base)														
														
Top		Cumulative Volume (m3/ha) of CWD (less decay) by DBH Class (cm)     												
Age (yr)	Ht (m)	All (m3/ha)	5 (m3/ha)	15 (m3/ha)	25 (m3/ha)	35 (m3/ha)	45 (m3/ha)	55 (m3/ha)	65+ (m3/ha)	12.5 estimate				
68	16	0.229	0.092	0.126	0.011	0	0	0	0	0.1175				
69	16.2	0.225	0.089	0.124	0.012	0	0	0	0	0.11525				
70	16.3	0.22	0.086	0.122	0.012	0	0	0	0	0.113				
71	16.5	0.215	0.084	0.119	0.012	0	0	0	0	0.11025				
72	16.7	0.221	0.081	0.126	0.014	0	0	0	0	0.11475				
73	16.8	0.279	0.079	0.17	0.029	0.001	0	0	0	0.14725				
74	17	0.335	0.076	0.214	0.043	0.002	0	0	0	0.1795				
75	17.2	0.39	0.074	0.257	0.057	0.002	0	0	0	0.21125				
76	17.3	0.445	0.072	0.3	0.07	0.003	0	0	0	0.243				
77	17.5	0.499	0.07	0.341	0.084	0.004	0	0	0	0.27325				
78	17.7	0.551	0.068	0.382	0.097	0.004	0	0	0	0.3035				
79	17.8	0.619	0.066	0.429	0.118	0.006	0	0	0	0.33825				
80	18	0.694	0.064	0.479	0.143	0.008	0	0	0	0.37525				
81	18.1	0.768	0.062	0.528	0.168	0.01	0	0	0	0.4115				
82	18.3	0.841	0.06	0.576	0.193	0.012	0	0	0	0.447				
83	18.4	0.914	0.058	0.624	0.218	0.014	0	0	0	0.4825				
84	18.6	0.985	0.057	0.67	0.242	0.016	0	0	0	0.51675				
85	18.7	1.054	0.055	0.716	0.265	0.018	0	0	0	0.55075				
86	18.8	1.116	0.053	0.756	0.287	0.02	0	0	0	0.58025				
87	19	1.134	0.051	0.761	0.3	0.022	0	0	0	0.5835				
88	19.1	1.151	0.05	0.765	0.313	0.023	0	0	0	0.58625				
89	19.2	1.168	0.048	0.77	0.325	0.025	0	0	0	0.5895				
90	19.4	1.185	0.046	0.774	0.338	0.027	0	0	0	0.592				
91	19.5	1.203	0.045	0.779	0.35	0.029	0	0	0	0.5955				
92	19.6	1.219	0.043	0.783	0.362	0.031	0	0	0	0.598				
93	19.8	1.235	0.041	0.787	0.374	0.033	0	0	0	0.6005				
94	19.9	1.25	0.04	0.791	0.385	0.034	0	0	0	0.60325				
95	20	1.251	0.038	0.786	0.391	0.036	0	0	0	0.599				
96	20.1	1.236	0.037	0.771	0.391	0.037	0	0	0	0.5875				
97	20.2	1.221	0.036	0.757	0.39	0.038	0	0	0	0.57675				
98	20.4	1.206	0.034	0.743	0.39	0.039	0	0	0	0.56575				
99	20.5	1.192	0.033	0.729	0.39	0.04	0	0	0	0.555				
100	20.6	1.178	0.032	0.715	0.39	0.041	0	0	0	0.54425				
