FLNRORD Forest Analysis and Inventory Branch TIPSY Version 4.4
PROJECT : Donna_Creek                        SINDEX Version 1.52

STAND
  GEOGRAPHY: Northern Interior/Mackenzie/SBS/16% Slope
  ESTABLISHMENT: Regen delay = 0; Target Density = 780 trees/ha (Natural)
  OPERATIONAL YIELD ADJUSTMENTS:
    OAF 1                     Age:       0.0   100.0 300.0
                              Factor:    0.85  0.85  0.85 
    OAF 2                     Age:       0.0   100.0 300.0
                              Factor:    1.00  0.95  0.85 
    Combined Operational Yield Adjustment @ 100 years: 0.81

SPECIES
 79% LODGEPOLE PINE; Site Index = 15.26
  Site curve: *Nigh (2017)
  Top Ht @ bh age 50 (m) = 15.31 (base)

 21% WHITE SPRUCE; Site Index = 10.74
  Site curve: *Goudie (1984ac) (natural)
  Top Ht @ bh age 50 (m) = 10.74 (base)



 Multiple Species option aggregates pure stands for forest-level planning.
 It is NOT VALID for mixed-species SILVICULTURAL applications.
----------------------------------------------------------------------------------------------
                                  MANAGED STAND YIELD TABLE

             |   Volume  |    MAI   |   BA  | DBHg| Trees|  CC |  Volume  |   DBHg   |   LC   
             |  (m3/ha)  |(m3/ha/yr)|(m2/ha)| (cm)|(#/ha)| (%) |  (m3/ha) |   (cm)   |   (%)  
             |-----------|----------|-------|-----|------|-----|----------|----------|--------
 TIPSY   Site|           |          |       |     |      |     |   Crop   |   Crop   | Prime  
  Age      Ht|Gross Merch| Merch    |       |     |      | All |Max 250/ha|Max 250/ha|  250   
  (yr)    (m)| 0.0+ 12.5+| 12.5+    | 0.0+  | 0.0+|  0.0+|Trees|   12.5+  |   12.5+  |trees/ha
----------------------------------------------------------------------------------------------
  27.0 ,   6.3 ,    6 ,    0 ,  0.01 ,        2 ,    5.7 ,   612 ,   14 ,       0   ,    15.0   ,     0   ,
  28.0 ,   6.6 ,    6 ,    0 ,  0.01 ,        2 ,    5.9 ,   610 ,   15 ,       0   ,    15.0   ,     0   ,
  29.0 ,   6.9 ,    6 ,    0 ,  0.01 ,        2 ,    6.1 ,   609 ,   16 ,       0   ,    15.0   ,     0   ,
  30.0 ,   7.2 ,    7 ,    0 ,  0.01 ,        2 ,    6.3 ,   607 ,   16 ,       0   ,    15.0   ,     0   ,
  31.0 ,   7.4 ,    7 ,    0 ,  0.01 ,        2 ,    6.5 ,   606 ,   17 ,       0   ,    15.0   ,     0   ,
  32.0 ,   7.7 ,    8 ,    0 ,  0.01 ,        2 ,    6.7 ,   604 ,   18 ,       0   ,    15.0   ,     0   ,
  33.0 ,   8.0 ,    8 ,    0 ,  0.01 ,        2 ,    6.9 ,   603 ,   19 ,       0   ,    15.0   ,     0   ,
  34.0 ,   8.3 ,    9 ,    0 ,  0.01 ,        2 ,    7.1 ,   601 ,   19 ,       0   ,    15.0   ,     0   ,
  35.0 ,   8.5 ,    9 ,    0 ,  0.01 ,        2 ,    7.2 ,   600 ,   20 ,       0   ,    15.1   ,     0   ,
  36.0 ,   8.8 ,   10 ,    1 ,  0.02 ,        3 ,    7.5 ,   599 ,   21 ,       1   ,    15.1   ,     0   ,
  37.0 ,   9.1 ,   12 ,    1 ,  0.04 ,        3 ,    7.9 ,   597 ,   22 ,       1   ,    15.1   ,     0   ,
  38.0 ,   9.3 ,   13 ,    2 ,  0.06 ,        3 ,    8.2 ,   596 ,   23 ,       2   ,    15.1   ,     0   ,
  39.0 ,   9.6 ,   15 ,    3 ,  0.07 ,        3 ,    8.6 ,   595 ,   24 ,       3   ,    15.1   ,     0   ,
  40.0 ,   9.9 ,   16 ,    3 ,  0.08 ,        4 ,    8.9 ,   594 ,   26 ,       3   ,    15.1   ,     0   ,
  41.0 ,  10.1 ,   17 ,    4 ,  0.10 ,        4 ,    9.2 ,   592 ,   27 ,       4   ,    15.1   ,     0   ,
  42.0 ,  10.4 ,   19 ,    5 ,  0.11 ,        4 ,    9.5 ,   591 ,   28 ,       5   ,    15.1   ,     0   ,
  43.0 ,  10.6 ,   20 ,    5 ,  0.12 ,        4 ,    9.8 ,   590 ,   29 ,       5   ,    15.2   ,     0   ,
  44.0 ,  10.9 ,   22 ,    7 ,  0.16 ,        5 ,   10.1 ,   589 ,   30 ,       7   ,    15.3   ,     0   ,
  45.0 ,  11.1 ,   24 ,    9 ,  0.19 ,        5 ,   10.4 ,   588 ,   31 ,       9   ,    15.4   ,     0   ,
  46.0 ,  11.4 ,   26 ,   10 ,  0.22 ,        5 ,   10.7 ,   587 ,   32 ,      10   ,    15.5   ,     0   ,
  47.0 ,  11.6 ,   28 ,   12 ,  0.25 ,        6 ,   11.0 ,   586 ,   33 ,      12   ,    15.6   ,     0   ,
  48.0 ,  11.8 ,   30 ,   13 ,  0.28 ,        6 ,   11.3 ,   585 ,   34 ,      13   ,    15.7   ,    61   ,
  49.0 ,  12.1 ,   32 ,   15 ,  0.30 ,        6 ,   11.5 ,   584 ,   35 ,      15   ,    15.7   ,    63   ,
  50.0 ,  12.3 ,   34 ,   17 ,  0.33 ,        6 ,   11.8 ,   583 ,   36 ,      17   ,    15.8   ,    65   ,
