,Converted book data,,,,,,,,,,,Values,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Conversion key:,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Converted values,,,,,,,,,,,,,,,
,,,,,,,,,,,,,D,,L,A,,,,,,,,,,,,
,,,,,,,,,,,,Book code,(m),,(m),(#),,,,,,,,,,,,
,,2,2,3,2,,,,"L, U",JD,,0.2,7.5,0.2,5.0,1.18,,,,,,,,,,,,
,,2,3,3,2,,,,"L, U",JD,,0.2,12.5,0.4,5.0,1.96,,,,,,,,,,,,
220.0,220.0,2,3,2,2,,1,1,U,,,0.2,12.5,0.4,2.5,0.98,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230.0,230.0,3,1,1,1,,,,,,,0.5,3.0,0.6,1.5,0.88,,,,,,,,,,,,
,,2,1,1,1,1,,,U,,,0.2,3.0,0.1,1.5,0.14,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250.0,250.0,2,2,1,3,,2,1,U,,,0.2,7.5,0.2,1.5,0.35,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260.0,260.0,1,2,2,2,,1,1,O,,,0.1,7.5,0.0,2.5,0.06,,,,,,,,,,,,
,,2,2,2,3,,2,1,U,,,0.2,7.5,0.2,2.5,0.59,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270.0,270.0,3,1,2,2,,,,"L, U, P",,,0.5,3.0,0.6,2.5,1.47,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280.0,280.0,2,1,5,2,,,,,JE,,0.2,3.0,0.1,15.0,1.41,,,,,,,,,,,,
,,1,1,5,2,,,,"L, U",JE,,0.1,3.0,0.0,15.0,0.14,,,,,,,,,,,,
,,2,3,3,2,1,,,"L, U",JE,,0.2,12.5,0.4,5.0,1.96,,,,,,,,,,,,
,,3,2,3,2,1,,,"L, U",,,0.5,7.5,1.5,5.0,7.36,,,,,,,,,,,,
,,2,2,3,2,,2,1,O,JE,,0.2,7.5,0.2,5.0,1.18,,,,,,,,,,,,
285.0,285.0,1,1,6,,,,,,,,0.1,3.0,0.0,error,#VALUE!,,,,,,,,,,,,
290.0,290.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1,1,1,1,,,L,,,0.5,3.0,0.6,1.5,0.88,,,,,,,,,,,,
300.0,300.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
310.0,310.0,2,2,2,2,,1,1,U,,,0.2,7.5,0.2,2.5,0.59,,,,,,,,,,,,
